feature,score
Lambs,0.21734606753685792
PopAdults,0.1332777669465905
PopTot,0.1318487829387037
Ewes,0.1272646370187989
Rams,0.11059267693414528
Area,0.10174598192481472
Perimeter,0.08998169490195716
Translocation,0.022484144894554886
TypeVac,0.018171794804114932
T,0.01364801251957335
TypeBoth,0.012432057093569584
TypeSupp,0.010983346629069489
NonResident,0.009596391118006463
RT,0.0006266447392429618
