Herd,Year,NonResident,RT,T
Myers Creek,2002,1,0,1
Myers Creek,2003,0,0,0
Myers Creek,1999,0,0,0
Myers Creek,2004,0,0,0
Myers Creek,2005,0,0,0
Myers Creek,2006,0,0,0
Myers Creek,2007,0,0,0
Myers Creek,2008,0,0,0
Myers Creek,2010,0,0,0
Myers Creek,2011,0,0,0
Myers Creek,2012,0,0,0
Myers Creek,2013,0,0,0
Myers Creek,2015,0,0,0
Myers Creek,2014,0,0,0
McGraw,2000,0,0,0
McGraw,1997,0,0,0
McGraw,1995,0,0,0
McGraw,1996,0,0,0
McGraw,2001,0,0,0
McGraw,2002,0,0,0
McGraw,2003,0,0,0
McGraw,1999,1,1,0
McGraw,2004,0,0,0
McGraw,2005,0,0,0
McGraw,2006,0,0,0
McGraw,2007,0,0,0
McGraw,2008,0,0,0
McGraw,2010,0,0,0
McGraw,2011,0,0,0
McGraw,2012,0,0,0
McGraw,2013,0,0,0
McGraw,2015,0,0,0
McGraw,2014,0,0,0
05IMREL,2000,0,0,0
05IMREL,1997,0,0,0
05IMREL,1995,0,0,0
05IMREL,1996,0,0,0
05IMREL,2001,0,0,0
05IMREL,2002,0,0,0
05IMREL,2003,0,0,0
05IMREL,1999,0,0,0
05IMREL,2004,0,0,0
05IMREL,2005,1,1,0
05IMREL,2006,0,0,0
05IMREL,2007,0,0,0
05IMREL,2008,0,0,0
05IMREL,2010,0,0,0
05IMREL,2011,0,0,0
05IMREL,2012,0,0,0
05IMREL,2013,0,0,0
05IMREL,2015,0,0,0
05IMREL,2014,0,0,0
Mountain View,2000,0,0,0
Mountain View,1997,0,0,0
Mountain View,1995,0,0,0
Mountain View,1996,0,0,0
Mountain View,2001,0,0,0
Mountain View,2002,0,0,0
Mountain View,2003,0,0,0
Mountain View,1999,0,0,0
Mountain View,2004,0,0,0
Mountain View,2005,0,0,0
Mountain View,2006,0,0,0
Mountain View,2007,0,0,0
Mountain View,2008,0,0,0
Mountain View,2010,0,0,0
Mountain View,2011,0,0,0
Mountain View,2012,0,0,0
Mountain View,2013,0,0,0
Mountain View,2015,0,0,0
Mountain View,2014,0,0,0
Sheep Mountain,2000,0,0,0
Sheep Mountain,1997,0,0,0
Sheep Mountain,1995,0,0,0
Sheep Mountain,1996,0,0,0
Sheep Mountain,2001,0,0,0
Sheep Mountain,2002,0,0,0
Sheep Mountain,2003,0,0,0
Sheep Mountain,1999,0,0,0
Sheep Mountain,2004,0,0,0
Sheep Mountain,2005,0,0,0
Sheep Mountain,2006,0,0,0
Sheep Mountain,2007,0,0,0
Sheep Mountain,2008,0,0,0
Sheep Mountain,2010,0,0,0
Sheep Mountain,2011,0,0,0
Sheep Mountain,2012,0,0,0
Sheep Mountain,2013,0,0,0
Sheep Mountain,2015,0,0,0
Sheep Mountain,2014,0,0,0
Upper Hells Canyon ID,2000,0,0,0
Upper Hells Canyon ID,1997,0,0,0
Upper Hells Canyon ID,1995,0,0,0
Upper Hells Canyon ID,1996,0,0,0
Upper Hells Canyon ID,2001,0,0,0
Upper Hells Canyon ID,2002,0,0,0
Upper Hells Canyon ID,2003,0,0,0
Upper Hells Canyon ID,1999,0,0,0
Upper Hells Canyon ID,2004,0,0,0
Upper Hells Canyon ID,2005,0,0,0
Upper Hells Canyon ID,2006,0,0,0
Upper Hells Canyon ID,2007,0,0,0
Upper Hells Canyon ID,2008,0,0,0
Upper Hells Canyon ID,2010,0,0,0
Upper Hells Canyon ID,2011,0,0,0
Upper Hells Canyon ID,2012,0,0,0
Upper Hells Canyon ID,2013,0,0,0
Upper Hells Canyon ID,2015,0,0,0
Upper Hells Canyon ID,2014,0,0,0
Upper Hells Canyon OR,2000,0,0,0
Upper Hells Canyon OR,1997,0,0,0
Upper Hells Canyon OR,1995,0,0,0
Upper Hells Canyon OR,1996,0,0,0
Upper Hells Canyon OR,2001,0,0,0
Upper Hells Canyon OR,2002,0,0,0
Upper Hells Canyon OR,2003,0,0,0
Upper Hells Canyon OR,1999,0,0,0
Upper Hells Canyon OR,2004,0,0,0
Upper Hells Canyon OR,2005,0,0,0
Upper Hells Canyon OR,2006,0,0,0
Upper Hells Canyon OR,2007,0,0,0
Upper Hells Canyon OR,2008,0,0,0
Upper Hells Canyon OR,2010,0,0,0
Upper Hells Canyon OR,2011,0,0,0
Upper Hells Canyon OR,2012,0,0,0
Upper Hells Canyon OR,2013,0,0,0
Upper Hells Canyon OR,2015,0,0,0
Upper Hells Canyon OR,2014,0,0,0
Lower Hells Canyon,2000,0,0,0
Lower Hells Canyon,1997,0,0,0
Lower Hells Canyon,1995,0,0,0
