Record,Pop,year,r_est,r,PopEst,TotCount,Ewes,Rams,Lambs,PneuLamb,PneuAd,PneuRam,PneuEwe
463,UHCID,1982,0.17,NA,87,87,35,33,19,NA,NA,NA,NA
464,UHCID,1983,-0.34,NA,62,62,28,19,15,NA,1,1,1
465,UHCID,1984,-0.16,NA,53,,,,,NA,NA,NA,NA
466,UHCID,1985,-0.16,NA,45,,,,,NA,NA,NA,NA
467,UHCID,1986,-0.16,NA,38,,,,,NA,NA,NA,NA
468,UHCID,1987,-0.03,NA,37,37,23,10,4,NA,NA,NA,NA
469,UHCID,1988,-0.16,NA,31,,,,,NA,NA,NA,NA
470,UHCID,1989,-0.16,NA,27,,,,,NA,NA,NA,NA
471,UHCID,1990,-0.19,NA,22,22,16,6,0,NA,1,1,1
472,UHCID,1991,-0.05,NA,21,,,,,NA,NA,NA,NA
473,UHCID,1992,-0.05,NA,20,,,,,NA,NA,NA,NA
474,UHCID,1993,-0.05,NA,19,,,,,NA,NA,NA,NA
475,UHCID,1994,-0.05,NA,18,,,,,NA,NA,NA,NA
476,UHCID,1995,-0.05,NA,17,,,,,NA,NA,NA,NA
477,UHCID,1996,-0.05,NA,16,0,,,,NA,NA,NA,NA
478,UHCID,1997,-0.05,NA,15,,,,,NA,NA,NA,NA
479,UHCID,1998,-0.43,NA,10,8,3,2,3,NA,NA,NA,NA
480,UHCID,1999,0,NA,10,8,5,1,2,NA,NA,NA,NA
481,UHCID,2000,0,NA,10,9,5,1,3,NA,NA,NA,NA
482,UHCID,2001,0,NA,10,7,4,1,2,NA,NA,NA,NA
483,UHCID,2002,0.41,NA,15,12,6,4,2,NA,NA,NA,NA
484,UHCID,2003,0.29,NA,20,18,6,9,6,NA,NA,NA,NA
485,UHCID,2004,-0.69,NA,10,6,4,2,0,NA,NA,NA,NA
486,UHCID,2005,0,NA,10,9,4,4,1,NA,NA,NA,NA
487,UHCID,2006,0.41,NA,15,13,7,5,1,NA,NA,NA,NA
488,UHCID,2007,0,NA,15,13,6,5,2,NA,NA,NA,NA
489,UHCID,2008,0,NA,15,12,8,4,0,NA,NA,NA,NA
490,UHCID,2009,0,NA,15,13,8,5,0,NA,NA,NA,NA
491,UHCID,2010,-0.41,NA,10,6,3,2,1,0,0,0,0
492,UHCID,2011,-0.69,NA,5,4,2,2,0,NA,NA,NA,NA
493,UHCID,2012,0,NA,5,5,2,2,1,2,NA,NA,0
494,UHCID,2013,0.34,-0.2,7,4,3,1,0,NA,NA,NA,NA
495,UHCID,2014,0.36,0.69,10,8,4,3,1,NA,NA,NA,NA
496,UHCID,2015,,,10,,,,,NA,NA,NA,NA
